English,Translation,Dialect
Why is the transaction to my friend still pending?,لماذا لا تزال المعاملة مع صديقي معلقة؟,0
"The day before yesterday, I performed a transfer within the country. It still has not completed. Can you check on that? The account number is definitely correct, as I've checked.",أول من أمس ، أجريت عملية تحويل داخل البلاد. ما زالت لم تكتمل. هل يمكنك التحقق من ذلك؟ رقم الحساب صحيح بالتأكيد ، كما راجعت.,0
"I have checked the account information several times to be sure that it is correct, but the in country transfer I did a few days ago still has not appeared! What is the hold up?",لقد راجعت معلومات الحساب عدة مرات للتأكد من صحتها ، لكن التحويل داخل البلد الذي قمت به قبل بضعة أيام لم يظهر بعد! ما هو التعطيل؟,0
"I performed a transfer within the country the day before yesterday, but it has not gone through? Can you check on that? The account number is definitely correct, as I've checked.",قمت بإجراء تحويل داخل الدولة أول من أمس ولم يمر؟ هل يمكنك التحقق من ذلك؟ رقم الحساب صحيح بالتأكيد ، كما راجعت.,0
The day before yesterday I transferred funds to another account within the country. The funds have not yet arrived. I double and triple checked the account number and it was correct. Why hasn't the transfer been completed yet?,في اليوم السابق أمس ، قمت بتحويل الأموال إلى حساب آخر داخل الدولة. الأموال لم تصل بعد. لقد تحققت من رقم الحساب مرتين وثلاث مرات وكان صحيحا. لماذا لم يكتمل التحويل بعد؟,0
Why doesn't the person I sent money to see that transfer yet?,لماذا لا يرى الشخص الذي أرسلت الأموال هذا التحويل حتى الآن؟,0
"How long does it take for transfers to be approved? I sent funds to my girlfriend, and she says that she has not seen any approved funds in her account.",ما هي المدة التي تستغرقها الموافقة على عمليات النقل؟ لقد أرسلت أموالا إلى صديقتي ، وهي تقول إنها لم تر أي أموال معتمدة في حسابها.,0
How long will it be before the person I sent money to is able to see it?,كم سيمضي من الوقت قبل أن يتمكن الشخص الذي أرسلت الأموال إليه من رؤيتها؟,0
I'm still awaiting for the completion of the transaction.,الصفقة ما زالت غير كاملة,0
What is the time for a transfer?,ما هو وقت التحويل؟,0
I dont see my reciept,أنا لا أرى رسالتي,0
Why hasn't my transaction been completed?,لماذا لم تكتمل معاملتي؟,0
I sent some money and the account hasn't recived the transfer I made.,لقد أرسلت بعض المال ولم يستلم الحساب التحويل الذي قمت به.,0
I'm still expecting the transaction to be finished,ما زلت أتوقع الانتهاء من الصفقة,0
I transferred some money to a friend of mine who urgently needs some money right now. How long will it take to get to her?,لقد قمت بتحويل بعض المال إلى صديق لي يحتاج بعض المال بشكل عاجل الآن. كم من الوقت سيستغرق الوصول إليها؟,0
"I sent a payment, but the person I sent it to says they don't have it",لقد أرسلت دفعة ، لكن الشخص الذي أرسلتها إليه يقول إنه لا يملكها,0
"I have done a transfer within the country the day before yesterday, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already.",لقد أجريت عملية تحويل داخل البلد أول من أمس ، لكنها لم تصل بعد. هل يمكنك التحقق مما يحدث مع ذلك ، رقم الحساب هو بالتأكيد الرقم الصحيح ، لقد تحققت من ذلك عدة مرات بالفعل.,0
"I need to verify a payment to my new landlord. I transferred the first rent payment a few days ago. While it shows on my side, the landlord is saying he hasn't received it yet. Can you verify that it has processed?",أحتاج إلى التحقق من الدفع لمالك العقار الجديد. لقد قمت بتحويل دفعة الإيجار الأولى منذ بضعة أيام. بينما يظهر من جانبي ، يقول المالك إنه لم يستلمها بعد. هل يمكنك التحقق من معالجتها؟,0
"I've been waiting since Friday, where is my money?",أنا أنتظر منذ يوم الجمعة ، أين أموالي؟,0
I sent some money but the intended recipient says it hasn't arrived,لقد أرسلت بعض المال لكن المستلم المقصود قال إنه لم يصل,0
Could you please help me? I made my rent payment and have double checked that I sent it to the right account. The person receiving it says he has not received it but it shows complete on my side.,هلا ساعدتني من فضلك؟ لقد سددت دفع الإيجار وتأكدت من أنني أرسلته إلى الحساب الصحيح. يقول الشخص الذي استلمها إنه لم يتسلمها لكنها تظهر كاملة من جانبي.,0
I just did a money transaction but its not showing they received it,لقد قمت للتو بإجراء معاملة مالية ولكن لم يظهر أنها استلمتها,0
Why hasn't my transaction arrived to my friend yet?,لماذا لم تصل معاملتي إلى صديقي بعد؟,0
"I just transferred my friend money, but she hasn't received it yet, and it's been a few hours. Can you tell me when to expect it to go through?",لقد قمت للتو بتحويل أموال صديقي ، لكنها لم تتلقها بعد ، وقد مرت بضع ساعات. هل يمكن أن تخبرني متى أتوقع أن يمر؟,0
How long will my most recent transfer take to go through? The recipient needs the money urgently.,ما هي المدة التي سيستغرقها آخر تحويل لي؟ المتلقي يحتاج المال على وجه السرعة.,0
My recipient hasn't received the money,لم يستلم المستلم الأموال,0
when will my transfer arrive,متى سيصل نقلي,0
I just sent money but the person I sent it to doesn't see it. What happened?,لقد أرسلت أموالا للتو ولكن الشخص الذي أرسلتها إليه لا يراها. ماذا حدث؟,0
Why hasn't my transaction completed?,لا أعلم لماذا لم أستطع إتمام معاملتي؟,0
Why hasn't the transaction I did arrive yet?,لماذا لم تصل المعاملة بعد؟,0
Why isn't the transfer I made to a friend showing?,لماذا لا يظهر التحويل الذي أجريته إلى صديق؟,0
Why is my friend not getting a transaction arrival yet?,لماذا لم يصل صديقي معاملة حتى الآن؟,0
How long will a transaction to a friend take?,كم من الوقت تستغرق معاملة لصديق؟,0
Why hasn't my in country transfer gone through yet? I confirmed the account info a couple days ago but the payment hasn't been posted yet.,لماذا لم تتم عملية التحويل داخل الدولة الخاصة بي حتى الآن؟ لقد أكدت معلومات الحساب منذ يومين ولكن لم يتم إرسال الدفعة بعد.,0
"I completed a transfer within the UK two days ago, but it is still not showing received. I have verified the account number is correct already. Is there anything else I need to do or is there a problem?",لقد أكملت عملية تحويل داخل المملكة المتحدة قبل يومين ، لكنها لم تظهر بعد. لقد تحققت من صحة رقم الحساب بالفعل. هل هناك أي شيء آخر يجب أن أفعله أم أن هناك مشكلة؟,0
How can I the person see my money transaction?,كيف يمكنني رؤية معاملة أموالي لهذا الشخص؟,0
I sent a transfer to a friend that needs it urgently. It has already been 2 hours and still hasn't come through to her. How long does it normally take?,لقد أرسلت تحويلا إلى صديق يحتاجه بشكل عاجل. لقد مرت بالفعل ساعتان ولم تصل إليها بعد. وكم يستغرق عادة؟,0
the money i transferred didnt arrive,الأموال التي حولتها لم تصل,0
Why is my transfer taking so long. I thought it was supposed to only take 1 day if I made a transfer to someone. Can you wee what went wrong?,لماذا يستغرق نقلي وقتا طويلا. اعتقدت أنه كان من المفترض أن يستغرق الأمر يوما واحدا فقط إذا قمت بالتحويل إلى شخص ما. هل يمكنك رؤية ما الخطأ الذي حدث؟,0
"I sent some money to somebody a couple of hours ago, and they still have yet to receive it. They really need the money, how much longer are they going to have to wait?",لقد أرسلت بعض المال إلى شخص ما منذ ساعتين ، وما زال يتعين عليهم استلامها. إنهم يحتاجون حقا إلى المال، فكم من الوقت سيضطرون إلى الانتظار؟,0
How do I use American express to top up my account?,كيف أستخدم أمريكان إكسبريس لتعبئة حسابي؟,0
Which currencies do you accept for adding money?,أي نوع من العملات يمكن استخدامها لإضافة النقود لديكم؟,0
Is my credit card supported for top-ups?,هل بطاقتي الائتمانية مدعومة لعمليات التعبئة؟,0
Am I able to add money into my account using my American Express?,هل يمكنني إضافة أموال إلى حسابي باستخدام بطاقة أمريكان إكسبريس الخاصة بي؟,0
Can I use my American Express card to add money into my account?,هل تتوافق الأجهزة لديكم مع بطاقة أمريكان إكسبريس الخاصة بي لأتمكن من إضافة أموال إلى حسابي؟,0
Can you tell me what currencies I can use to add money?,هل يمكن أن تخبرني ما هي العملات التي يمكنني استخدامها لإضافة الأموال؟,0
I want to use my American Express for adding money into my account.,أرغب في استخدام بطاقة أمريكان إكسبريس الخاصة بي لإضافة أموال إلى حسابي.,0
With what currencies can I add money?,بأي عملات يمكنني إضافة نقود؟,0
What are the acceptable currencies for adding funds?,ما هي العملات المقبولة لإضافة الأموال؟,0
how can i transfer money from american express card,كيف يمكنني تحويل الأموال من بطاقة أمريكان إكسبريس,0
what cards and currencies are accepted?,ما هي البطاقات والعملات المقبولة؟,0
How can I top up my card with another card?,كيف يمكنني تعبئة بطاقتي باستخدام بطاقة أخرى؟,0
use my credit to add money,استخدم بطاقتي لإضافة المال,0
What types of currencies do you accept?,ما أنواع العملات التي تقبلونها؟,0
Do you accept any card and currency?,هل تقبل أي بطاقة وعملة؟,0
can i use my mastercard to add money to my account,هل يمكنني استخدام بطاقة ماستركارد الخاصة بي لإضافة أموال إلى حسابي,0
What types of cards and money do you accept?,ما أنواع البطاقات والأموال التي تقبلونها؟,0
How can I fund another account with my American Express?,كيف يمكنني تمويل حساب آخر مع أمريكان إكسبريس الخاص بي؟,0
What currencies do you accept to add money?,ما هي العملات التي تقبلونها لإضافة نقود؟,0
How can I top up my account and which currency can I use?,كيف يمكنني تعبئة حسابي وأي عملة يمكنني استخدامها؟,0
Will my other US credit card be accepted?,هل سيتم قبول بطاقتي الائتمانية الأمريكية الأخرى؟,0
How can I get funds into my account from my American Express?,كيف يمكنني الحصول على أموال في حسابي من أمريكان إكسبريس الخاص بي؟,0
Which cards and currencies are supported?,أي البطاقات والعملات تدعموها؟,0
What are the currencies and cards that are supported with my account?,ما هي العملات والبطاقات التي يدعمها حسابي؟,0
What currency can I use to add money?,ما العملة التي يمكنني استخدامها لإضافة الأموال؟,0
Can I use a credit card from the US to top up?,هل يمكنني استخدام بطاقة ائتمان من الولايات المتحدة لإعادة الشحن؟,0
why don't you accept american express for adding money to my account,لماذا لا تقبل أمريكان إكسبريس لإضافة أموال إلى حسابي,0
Can you tell me what cards and currencies you support?,هل يمكن أن تخبرني ما هي البطاقات والعملات التي تدعمها؟,0
Which foreign currencies do you accept for adding money?,ما هي العملات الأجنبية التي تقبلونها لإضافة النقود؟,0
I only have one other credit card from the US. Do you accept that?,لدي بطاقة ائتمان واحدة فقط من الولايات المتحدة. هل تقبلين ذلك؟,0
What currencies are approved to add money?,ما هي العملات المعتمدة لإضافة الأموال؟,0
I wish to use my American Express to put funds into my account.,أرغب في استخدام بطاقة أمريكان إكسبريس لوضع الأموال في حسابي.,0
I want to use a payment card to top up my account. How can I do this?,أرغب في استخدام بطاقة دفع لتعبئة حسابي. كيف يمكنني أن أفعل هذا؟,0
Can I use American Express?,هل يمكنني استخدام أمريكان إكسبريس؟,0
what cards can i use to add money to my account,ما هي البطاقات التي يمكنني استخدامها لإضافة أموال إلى حسابي,0
Is American Express supported for adding funds?,هل أمريكان إكسبريس مدعوم لإضافة الأموال؟,0
Do you accept credit cards from the US,هل تقبل بطاقات الائتمان من الولايات المتحدة,0
Can you accept my other card from the U.S.? It is the only other one I have.,هل يمكنك قبول بطاقتي الأخرى من الولايات المتحدة؟ إنه الوحيد الآخر الذي أملكه.,0
Do you accept Mastercard?,هل تقبل ماستركارد؟,0
"I am adding money, what currencies do you accept to do this?",أقوم بإضافة نقود ، ما العملات التي تقبلونها للقيام بذلك؟,0
Which currencies do you handle?,ما هي العملات التي تتعامل معها؟,0
what currencies can i use to add money to my account,ما هي العملات التي يمكنني استخدامها لإضافة أموال إلى حسابي,0
Are there certain cards and currencies you support?,هل هناك بطاقات وعملات معينة تدعمها؟,0
why wont my american express work to add money,لماذا لا تعمل بطاقة أمريكان إكسبريس لإضافة المال,0
Which currencies can I use to add money?,ما هي العملات التي يمكنني استخدامها لإضافة الأموال؟,0
Can I use any card and currency?,هل يمكنني استخدام أي بطاقة أو عملة؟,0
What kind of cards are supported? What currency?,ما نوع البطاقات المدعومة؟ ما العملة؟,0
I have a second credit card from the US. Will you take it?,لدي بطاقة ائتمان ثانية من الولايات المتحدة. هل ستقوم بأخذها؟,0
What cards do you accept to top up my account?,ما هي البطاقات التي تقبلونها لتعبئة حسابي؟,0
What currencies do you accept for adding money?,ما هي العملات التي تقبلونها لإضافة النقود؟,0
Can I top off with a debit card?,هل يمكنني شحن بطاقة الخصم المباشر؟,0
"I want to deposit funds, what payments are accepted?",أرغب في إيداع الأموال ، ما هي المدفوعات المقبولة؟,0
Are cards from the US accepted?,هل البطاقات من الولايات المتحدة مقبولة؟,0
I'd like to use my American Express to place money into my account.,أرغب في استخدام بطاقة أمريكان إكسبريس الخاصة بي لوضع الأموال في حسابي.,0
Please let me know what currency I can use to top up my account?,يرجى إعلامي بالعملة التي يمكنني استخدامها لتعبئة حسابي؟,0
Do you accept all cards and currencies?,هل تقبلون جميع البطاقات والعملات؟,0
I have one other credit card from the US. Do you take that?,لدي بطاقة ائتمان أخرى من الولايات المتحدة. هل تأخذ هذا؟,0
Which credit card top-ups do you accept?,ما هي بطاقات الائتمان الإضافية التي تقبلونها؟,0
"If I top up by card, what options do I have re: currency and card type?",إذا قمت بالشحن عن طريق البطاقة ، ما هي الخيارات المتوفرة لدي: العملة ونوع البطاقة؟,0
What currencies are accepted to add money?,ما هي العملات المستخدمة لديكم لإضافة النقود؟,0
What are my payment options?,ما هي خيارات الدفع المتاحة لي؟,0
Can I electronically transfer funds into my account from my American Express?,هل يمكنني تحويل الأموال إلكترونيا إلى حسابي من بطاقة أمريكان إكسبريس الخاصة بي؟,0
Can I top up my card with other cards?,هل يمكنني تعبئة بطاقتي ببطاقات أخرى؟,0
I have one other credit card from the US. Do you take it?,لدي بطاقة ائتمان أخرى من الولايات المتحدة. هل تأخذه؟,0
Am I able to use my American Express to add money to my account balance?,هل يمكنني استخدام بطاقة أمريكان إكسبريس الخاصة بي لإضافة أموال إلى رصيد حسابي؟,0
What are the cards and currencies that you support?,ما نوع البطاقات والعملات التي تدعمها؟,0
What US credit cards do you accept?,ما هي بطاقات الائتمان الأمريكية التي تقبلونها؟,0
I have an American Express that I'd like to add money to my account with.,لدي برنامج أمريكان إكسبريس وأود إضافة أموال إلى حسابي به.,0
What forms of payment do you accept?,ما هي أنواع الدفع التي تقبلونها؟,0
Do you have a list of cards and currencies you support?,هل لديك قائمة بالبطاقات والعملات التي تدعمها؟,0
"I want to top up by using a credit card, which ones do you support?",أرغب في إعادة التعبئة باستخدام بطاقة ائتمان ، ما البطاقات التي تدعمها؟,0
"I have a US credit card, will you accept it?",لدي بطاقة ائتمان أمريكية ، هل تقبلها؟,0
how do i add money from my amex card to top up,كيف أقوم بإضافة أموال من بطاقة أمكس الخاصة بي لإعادة الشحن,0
What cards and currencies can I use to top up my account?,ما هي البطاقات والعملات التي يمكنني استخدامها لتعبئة حسابي؟,0
Will you accept my credit card?,هل تقبل بطاقتي الائتمانية؟,0
"Will you accept my credit card, it my only one.",هل تقبل بطاقتي الائتمانية ، فهي الوحيدة التي أملكها.,0
"If I want to add funds to the account using American Express, how do I do that?",إذا كنت أرغب في إضافة أموال إلى الحساب باستخدام أمريكان إكسبريس ، فكيف أفعل ذلك؟,0
I just have one additional card from the USA. Do you support that?,لدي بطاقة إضافية واحدة فقط من الولايات المتحدة الأمريكية. هل تسمح بذلك؟,0
Why doesn't it work when I use American Express to try to add money to my account?,لماذا لا يعمل عندما أستخدم أمريكان إكسبريس لمحاولة إضافة أموال إلى حسابي؟,0
Which cards are accepted for topping up?,ما هي البطاقات المقبولة ليتم الشحن من خلالها؟,0
What kinds of cards can I use to top up?,ما أنواع البطاقات التي يمكنني استخدامها للتعبئة؟,0
What cards and currencies can I use?,ما هي البطاقات والعملات التي يمكنني استخدامها؟,0
What currency is acceptable for a top up?,ما هي العملة المقبولة للتعبئة؟,0
What other credit cards can I use?,ما هي بطاقات الائتمان الأخرى التي يمكنني استخدامها؟,0
What payment methods are used to top up?,ما هي طرق الدفع المستخدمة في إعادة التعبئة؟,0
how can i add money from my amex card,كيف يمكنني إضافة أموال من بطاقة أمكس الخاصة بي؟,0
I only have a card from the US is that okay?,لدي بطاقة فقط من الولايات المتحدة ، فهل هذا مقبول؟,0
Is American Express accepted?,هل يتم قبول أمريكان إكسبريس؟,0
Which currencies do you work with?,ما هي العملات التي تعمل بها؟,0
Can I use this app for any currency?,هل يمكنني استخدام هذا التطبيق لأي عملة؟,0
"For adding money, which currencies do you accept?",لإضافة النقود ، ما هي العملات التي تقبلونها؟,0
Is American Express supported for adding money into my account?,هل أمريكان إكسبريس مدعوم لإضافة أموال إلى حسابي؟,0
Can you tell me which cards and currencies are supported?,هل يمكنك إخباري بالبطاقات والعملات المدعومة؟,0
"I would like to top up via credit card, which credit cards do you support?",أرغب في تعبئة الرصيد عن طريق بطاقة الائتمان ، ما هي بطاقات الائتمان التي تدعمها؟,0
"I only have one more US credit card, is it accepted?",لدي بطاقة ائتمان أمريكية واحدة فقط ، فهل يتم قبولها؟,0
"If I want to topup by card, how do I do it?",إذا كنت أرغب في الشحن عن طريق البطاقة ، كيف أفعل ذلك؟,0
"I want to know which currencies and cards are supported, can you provide a list?",أرغب في معرفة العملات والبطاقات المدعومة ، هل يمكنك تقديم قائمة؟,0
"I want to top up by card, what do you support?",اريد تعبئة البطاقة ، ماذا تدعم؟,0
can i add funds with a card from the united states,هل يمكنني إضافة أموال ببطاقة من الولايات المتحدة,0
I want to top up my account. What payment methods are supported?,أريد تعبئة حسابي. ما هي طرق الدفع المدعومة؟,0
How can I use my American Express to add money into my account?,كيف يمكنني استخدام بطاقة أمريكان إكسبريس الخاصة بي لإضافة أموال إلى حسابي؟,0
What card or currency can I use to pay?,ما هي البطاقة أو العملة التي يمكنني استخدامها للدفع؟,0
do you accept from usa credit card?,هل تقبل من بطاقة الائتمان الأمريكية؟,0
What currency can I use to pay for a top up?,ما العملة التي يمكنني استخدامها للدفع مقابل زيادة الرصيد؟,0
Do you have a list of the cards and currencies supported?,هل لديكم قائمة بالبطاقات والعملات المدعومة؟,0
What are the various currencies and cards that you offer support for?,ما هي العملات والبطاقات المختلفة التي تقدمون الدعم لها؟,0
What currencies can be used for top up?,ما هي العملات التي يمكن استخدامها للتعبئة؟,0
"Do I have to top up in euros if I use a card, or can I use a different currency?",هل يتعين علي شحن رصيد باليورو إذا كنت أستخدم بطاقة ، أم يمكنني استخدام عملة مختلفة؟,0
What cards do you support,ما هي البطاقات التي تدعمها,0
What kind of cards an currency do you support?,ما نوع البطاقات والعملة التي تدعمها؟,0
Which cards do you support for top up?,ما هي البطاقات التي تدعمها لإعادة الشحن؟,0
"Top up my card please, which y'all support?",قم بتعبئة بطاقتي من فضلك ، أيهما تدعم؟,0
Do you accept US credit cards?,هل تقبل بطاقات الائتمان الأمريكية؟,0
I need to know if you will accept my credit card.,أحتاج إلى معرفة ما إذا كنت ستقبل بطاقتي الائتمانية.,0
I want to add funds to my account. What payment methods are accepted?,أريد إضافة أموال إلى حسابي. ما هي طرق الدفع المقبولة؟,0
"I would like to order a virtual card, where can I get one?",أرغب في طلب بطاقة افتراضية ، أين يمكنني الحصول عليها؟,0
"I need to order a new virtual card, how do I do that?",أحتاج إلى طلب بطاقة افتراضية جديدة ، كيف أفعل ذلك؟,0
How can I sign up for a virtual card?,كيف يمكنني التسجيل للحصول على بطاقة افتراضية؟,0
I haven't received my virtual card yet!!,لم استلم بطاقتي الافتراضية بعد !!,0
Can you give me a virtual card?,هل تستطيع أن تعطيني بطاقة افتراضية؟,0
I want to get my hands on one of those virtual cards!,أريد أن أحصل على إحدى هذه البطاقات الافتراضية!,0
i need a virtual card,أحتاج بطاقة افتراضية,0
How do I get to the virtual cards?,كيف أصل إلى البطاقات الافتراضية؟,0
want to know how to get virtual card,تريد أن تعرف كيفية الحصول على بطاقة افتراضية,0
Where is my virtual card?,أين بطاقتي الافتراضية؟,0
Where are the virtual cards?,أين البطاقات الافتراضية؟,0
Is it possible to order a virtual card?,هل من الممكن طلب بطاقة افتراضية؟,0
how to i go about getting my virtual card,كيف يمكنني الحصول على بطاقتي الافتراضية,0
I don't have a virtual card - how do I get one?,ليس لدي بطاقة افتراضية - كيف أحصل على واحدة؟,0
How to receive virtual card?,كيف تحصل على البطاقة الافتراضية؟,0
Why haven't I gotten a virtual card yet?,"لم أتمكن من أخذ بطاقة افتراضية بعد, ما السبب؟",0
Where do I order a virtual card?,الى أين يجب أن أتوجه لطلب بطاقة افتراضية؟,0
Can i have a virtual card?,كيف لي أن أحصل على بطاقة افتراضية؟,0
Please explain to me the process of getting a virtual card.,من فضلك اشرح لي عملية الحصول على بطاقة افتراضية.,0
my virtual card has not came yet!,لم تأت بطاقتي الافتراضية بعد!,0
Where do I have access to a virtual card?,أين يمكنني الوصول إلى بطاقة افتراضية؟,0
How to order a virtual card,كيفية طلب بطاقة افتراضية,0
Where do I get a virtual card?,من أين يمكنني الحصول على بطاقة افتراضية؟,0
Why haven't I been given a virtual card yet?,"ما سبب عدم حصولي على بطاقة افتراضية حتى الآن, أرجو التوضيح؟",0
Can you help me find the virtual card?,هل يمكنك مساعدتي في العثور على البطاقة الافتراضية؟,0
How do I go about getting hold of a virtual card?,هل هناك طريقة محددة الحصول على بطاقة افتراضية؟,0
Where's my virtual card,هل تستطيع مساعدة لمعرفة موقع بطاقتي الافتراضية,0
How can I go about ordering a virtual card?,كيف يمكنني طلب بطاقة افتراضية؟,0
Where can i find the virtual card?,أين يمكنني أن أجد البطاقة الافتراضية؟,0
"I'd rather not use my physical card, how can I get a virtual card?",أفضل عدم استخدام بطاقتي الفعلية ، كيف يمكنني الحصول على بطاقة افتراضية؟,0
What do I have to do to get my virtual card?,ماذا علي أن أفعل للحصول على بطاقتي الافتراضية؟,0
can i use my app to get a virtual card,هل يمكنني استخدام تطبيقي للحصول على بطاقة افتراضية,0
How can I obtain a virtual card?,ما هي طريقة الحصول على بطاقة افتراضية؟,0
I'm interested in getting a virtual card. How do I get one?,أنا مهتم بالحصول على بطاقة افتراضية. كيف أحصل على واحد؟,0
What is the way to go about getting a virtual card?,ما هي الطريقة التي يجب اتباعها للحصول على بطاقة افتراضية؟,0
How can I receive a virtual card?,كيف يمكنني الحصول على بطاقة افتراضية؟,0
When will my virtual card arrive?,متى ستصل بطاقتي الافتراضية؟,0
How do I get my virtual card?,كيف أحصل على بطاقتي الافتراضية؟,0
how to get virtual card,كيفية الحصول على بطاقة افتراضية,0
What is the best way to get my virtual card?,ما هي أفضل طريقة للحصول على بطاقتي الافتراضية؟,0
"I need to make a purchase online, where is my virtual card?",أحتاج إلى إجراء عملية شراء عبر الإنترنت ، أين بطاقتي الافتراضية؟,0
I look but I see no virtual card. Why is that?,أنظر ولكني لا أرى بطاقة افتراضية. لماذا هذا؟,0
"Hello, what is a virtual card and how do I get one?",مرحبا ، ما هي البطاقة الافتراضية وكيف أحصل عليها؟,0
How come I did not get a virtual card yet?,"لم أتمكن حتى الآن من الحصول على بطاقة افتراضية , لماذا؟",0
"how many virtual cards can i have, i want 8",كم عدد البطاقات الافتراضية التي يمكنني الحصول عليها ، أريد 8,0
How do I get a virtual card on my device?,كيف أحصل على بطاقة افتراضية على جهازي؟,0
How do I access the virtual card?,كيف يمكنني الوصول إلى البطاقة الافتراضية؟,0
I'd like more info on getting a virtual card.,أرغب في مزيد من المعلومات حول الحصول على بطاقة افتراضية.,0
where can i have a virtual card,ما هي الطريقة المناسبة للحصول على بطاقة افتراضية,0
I would love one of the virtual cards!,أحب واحدة من البطاقات الافتراضية!,0
I would like to order a virtual card.,أود أن أطلب بطاقة افتراضية.,0
I have yet to receive my virtual card,لم أستلم بطاقتي الافتراضية بعد,0
How long will it take to receive a virtual card?,كم من الوقت سيستغرق الحصول على بطاقة افتراضية؟,0
Why have I not received a virtual card yet?,لماذا لم استلم بطاقة افتراضية بعد؟,0
Can you assist me in acquiring a virtual card?,هل يمكنك مساعدتي في الحصول على بطاقة افتراضية؟,0
How come I didn't get a virtual card yet?,لماذا لم أحصل على بطاقة افتراضية بعد؟,0
When will I get a virtual card? I haven't gotten one yet,متى سأحصل على بطاقة افتراضية؟ لم أحصل على واحدة حتى الآن,0
Where can I order my virtual card?,أين يمكنني طلب بطاقتي الافتراضية؟,0
Where can virtual cards be ordered?,أين يمكن طلب البطاقات الافتراضية؟,0
How can I locate the virtual card?,كيف يمكنني تحديد موقع البطاقة الافتراضية؟,0
How long do you have to wait to see your virtual card your ordered?,كم من الوقت عليك الانتظار لرؤية بطاقتك الافتراضية التي طلبتها؟,0
I want to get a virtual card!,أريد الحصول على بطاقة افتراضية!,0
How to access my virtual card,كيفية الوصول إلى بطاقتي الافتراضية,0
Where can I sign up for a virtual card?,أين يمكنني التسجيل للحصول على بطاقة افتراضية؟,0
Where do i go to receive a virtual card,أين أذهب لاستلام بطاقة افتراضية,0
Are there virtual cards,هل توجد بطاقات افتراضية,0
Please let me know how to place an order for a virtual card,يرجى إعلامي بكيفية تقديم طلب للحصول على بطاقة افتراضية,0
I ordered a virtual card but it hasn't come through yet,لقد طلبت بطاقة افتراضية لكنها لم تصل بعد,0
Is there a way to get a virtual card?,هل هناك طريقة للحصول على بطاقة افتراضية؟,0
why hasn't my virtual card arrived?,لماذا لم تصل بطاقتي الافتراضية؟,0
What is the virtual card and how can i get one?,ما هي البطاقة الافتراضية وكيف يمكنني الحصول عليها؟,0
"I have lost my card, but need to place an online order! How do I get a virtual card instantly?",لقد فقدت بطاقتي ، لكنني بحاجة إلى تقديم طلب عبر الإنترنت! كيف أحصل على بطاقة افتراضية على الفور؟,0
I've got to have one of those virtual cards.,يجب أن أمتلك واحدة من تلك البطاقات الافتراضية.,0
Where is my virtual card located?,أين تقع بطاقتي الافتراضية؟,0
Why have I not yet received my virtual card?,لماذا لم أستلم بطاقتي الافتراضية بعد؟,0
Where would I order a virtual card?,ما هي اجراءات طلب بطاقة افتراضية؟,0
"I need to order a new card, can you please direct me to the virtual cards?",أحتاج إلى طلب بطاقة جديدة ، هل يمكنك توجيهي إلى البطاقات الافتراضية؟,0
I need my virtual card,أحتاج بطاقتي الافتراضية,0
I haven't received my virtual card.,لم أستلم بطاقتي الافتراضية.,0
How do I receive a virtual card?,كيف أستطيع الحصول على بطاقة افتراضية؟,0
I heard you have virtual cards. How do I get one?,سمعت أن لديك بطاقات افتراضية. كيف أحصل على واحد؟,0
I would like a virtual card...how do I get one?,أريد بطاقة افتراضية ... كيف أحصل على واحدة؟,0
I'd like like to know where I can order a virtual card?,أود أن أعرف من أين يمكنني طلب بطاقة افتراضية؟,0
what is a virtual and how do i get one,ما هو الوضع الافتراضي وكيف يمكنني الحصول عليه,0
why hasn't my virtual card come yet?,لماذا لم تأت بطاقتي الافتراضية بعد؟,0
Is there a way to order a virtual card on the website?,هل هناك طريقة لطلب بطاقة افتراضية على الموقع؟,0
Is there an alternative to a physical card?,هل هناك بديل عن البطاقة الفعلية؟,0
"I did not get my virtual card yet, Why?",لم أحصل على بطاقتي الافتراضية حتى الآن ، لماذا؟,0
Where do I find a virtual card?,أين أجد بطاقة افتراضية؟,0
Is there anywhere I can't use my card?,هل يوجد مكان لا يمكنني استخدام بطاقتي فيه؟,0
In which stores can I shop with this card?,في أي متاجر يمكنني التسوق بهذه البطاقة؟,0
How do I know where I can use my card?,كيف أعرف أين يمكنني استخدام بطاقتي؟,0
Can I tell what business will take this card?,هل يمكنني معرفة الأعمال التي ستأخذ هذه البطاقة؟,0
Are there businesses that don't accept this card?,هل هناك أعمال لا تقبل هذه البطاقة؟,0
Is the card welcomed by everybody?,هل البطاقة مرحب بها من قبل الجميع؟,0
What businesses accept this card?,ما الشركات التي تقبل هذه البطاقة؟,0
What retailers accept my card?,من هم تجار التجزئة الذين يقبلون بطاقتي؟,0
This card is accepted by what businesses?,ما هي الشركات التي تقبل هذه البطاقة؟,0
Will this card work all over the world?,هل ستعمل هذه البطاقة في جميع أنحاء العالم؟,0
WHAT IS THE ATMOSPHERE OF IT,ما هو الغلاف الجوي لها,0
What kind of businesses will take my card?,ما نوع الأعمال التي ستأخذ بطاقتي؟,0
Where do I pay with my debit or credit card?,هل يمكن توضيح الأماكن التي تدعم الدفع ببطاقة الخصم أو الائتمان الخاصة بي؟,0
